"Year","LocationAbbr","LocationDesc","GeographicLevel","DataSource","Class","Topic","Data_Value","Data_Value_Unit","Data_Value_Type","Data_Value_Footnote_Symbol","Data_Value_Footnote","Confidence_limit_Low","Confidence_limit_High","StratificationCategory1","Stratification1","StratificationCategory2","Stratification2","StratificationCategory3","Stratification3","LocationID"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","All stroke","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 35-64 years","Race","Asian/Pacific Islander","Sex","Overall","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","Coronary heart disease (CHD)","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 35-64 years","Race","Asian/Pacific Islander","Sex","Overall","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 35-64 years","Race","Asian/Pacific Islander","Sex","Overall","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","Heart failure","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 35-64 years","Race","Asian/Pacific Islander","Sex","Overall","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","All heart disease","155.9","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","119.5","205.9","Age group","Ages 35-64 years","Race","Black (Non-Hispanic)","Sex","Overall","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","All stroke","39.3","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","30.8","49.1","Age group","Ages 35-64 years","Race","Black (Non-Hispanic)","Sex","Overall","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","All heart disease","794.7","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","707.9","888.2","Age group","Ages 65 years and older","Race","Overall","Sex","Women","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","All stroke","257.6","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","211.6","307.3","Age group","Ages 65 years and older","Race","Overall","Sex","Women","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","Coronary heart disease (CHD)","354.7","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","291.1","439.5","Age group","Ages 65 years and older","Race","Overall","Sex","Women","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","1206.1","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","1076.2","1316.6","Age group","Ages 65 years and older","Race","Overall","Sex","Women","17001"
